Name,Team,Position,Age,SF Value,Non-SF Value
2025 Early 1st,FA,PICK,,6372,7173
2025 Early 2nd,FA,PICK,,3740,4528
2025 Early 3rd,FA,PICK,,2327,2770
2025 Early 4th,FA,PICK,,1620,1753
2025 Late 1st,FA,PICK,,4672,5605
2025 Late 2nd,FA,PICK,,2857,3550
2025 Late 3rd,FA,PICK,,2038,2410
2025 Late 4th,FA,PICK,,1437,1520
2025 Mid 1st,FA,PICK,,5194,6088
2025 Mid 2nd,FA,PICK,,3205,3884
2025 Mid 3rd,FA,PICK,,2223,2584
2025 Mid 4th,FA,PICK,,1528,1673
2026 Early 1st,FA,PICK,,5700,6285
2026 Early 2nd,FA,PICK,,3325,3956
2026 Early 3rd,FA,PICK,,2166,2521
2026 Early 4th,FA,PICK,,1514,1636
2026 Late 1st,FA,PICK,,4273,5149
2026 Late 2nd,FA,PICK,,2670,3300
2026 Late 3rd,FA,PICK,,1833,2154
2026 Late 4th,FA,PICK,,1196,1327
2026 Mid 1st,FA,PICK,,4709,5621
2026 Mid 2nd,FA,PICK,,3010,3543
2026 Mid 3rd,FA,PICK,,1997,2339
2026 Mid 4th,FA,PICK,,1410,1499
2027 Early 1st,FA,PICK,,5117,5894
2027 Early 2nd,FA,PICK,,2992,3452
2027 Early 3rd,FA,PICK,,1973,2241
2027 Early 4th,FA,PICK,,1325,1510
2027 Late 1st,FA,PICK,,3937,4703
2027 Late 2nd,FA,PICK,,2437,2958
2027 Late 3rd,FA,PICK,,1700,1947
2027 Late 4th,FA,PICK,,1057,1121
2027 Mid 1st,FA,PICK,,4349,5347
2027 Mid 2nd,FA,PICK,,2691,3215
2027 Mid 3rd,FA,PICK,,1824,2099
2027 Mid 4th,FA,PICK,,1178,1406
Aaron Jones,MIN,RB,30,2863,3633
Aaron Rodgers,NYJ,QB,41,1468,1186
Adam Thielen,CAR,WR,34,1757,1817
Adam Trautman,DEN,TE,27,772,838
Adonai Mitchell,IND,WR,22,2795,3411
Aidan O'Connell,LVR,QB,26,1739,938
Ainias Smith,PHI,WR,23,798,871
AJ Barner,SEA,TE,22,1375,1614
A.J. Brown,PHI,WR,27,6423,7148
AJ Dillon,GBP,RB,26,879,928
Alec Pierce,IND,WR,24,2367,2953
Alexander Mattison,LVR,RB,26,1611,1913
Allen Lazard,NYJ,WR,29,979,1229
Alvin Kamara,NOS,RB,29,3636,4730
Amari Cooper,BUF,WR,30,2505,3195
Ameer Abdullah,LVR,RB,31,908,944
Amon-Ra St. Brown,DET,WR,25,7871,8508
Andrei Iosivas,CIN,WR,25,2301,2647
Andrew Ogletree,IND,TE,26,399,451
Andy Dalton,CAR,QB,37,599,485
Anthony Richardson,IND,QB,22,4565,4270
Anthony Schwartz,MIA,WR,24,539,587
Antonio Gibson,NEP,RB,26,1584,1826
Ashton Dulin,IND,WR,27,555,523
A.T. Perry,FA,WR,25,338,437
Audric Estime,DEN,RB,21,2521,3246
Austin Ekeler,WAS,RB,29,1720,2209
Austin Hooper,NEP,TE,30,682,703
Bailey Zappe,CLE,QB,25,257,162
Baker Mayfield,TBB,QB,29,5403,4175
Ben Sinnott,WAS,TE,22,2366,2889
Ben Skowronek,PIT,WR,27,368,364
Bijan Robinson,ATL,RB,22,8049,8933
Blake Corum,LAR,RB,24,2815,3540
Bo Melton,GBP,WR,25,1134,1312
Bo Nix,DEN,QB,24,6376,4865
Braelon Allen,NYJ,RB,21,3028,3907
Brandin Cooks,DAL,WR,31,1172,1289
Brandon Aiyuk,SFO,WR,26,4251,5406
Brandon Powell,MIN,WR,29,466,404
