Name,Team,Position,Age,SF Value,Non-SF Value,Pick Number (10-team),Pick Number (12-team),Pick Number (16-team),Pick Number (20-team),Pick Number (32-team)
Ja'Marr Chase,CIN,WR,24.0,9997,9999,1.01,1.01,1.01,1.01,1.01
Josh Allen,BUF,QB,28.0,9991,7733,1.02,1.02,1.02,1.02,1.02
Lamar Jackson,BAL,QB,28.0,9956,7563,1.03,1.03,1.03,1.03,1.03
Justin Jefferson,MIN,WR,25.0,9624,9984,1.04,1.04,1.04,1.04,1.04
Jayden Daniels,WAS,QB,24.0,9318,7220,1.05,1.05,1.05,1.05,1.05
Joe Burrow,CIN,QB,28.0,8365,6227,1.06,1.06,1.06,1.06,1.06
Bijan Robinson,ATL,RB,22.0,8049,8933,1.07,1.07,1.07,1.07,1.07
Malik Nabers,NYG,WR,21.0,8041,8641,1.08,1.08,1.08,1.08,1.08
Brock Bowers,LVR,TE,22.0,8027,8634,1.09,1.09,1.09,1.09,1.09
Jahmyr Gibbs,DET,RB,22.0,8013,8761,1.10,1.10,1.10,1.10,1.10
CeeDee Lamb,DAL,WR,25.0,7922,8438,2.01,1.11,1.11,1.11,1.11
Jalen Hurts,PHI,QB,26.0,7883,6400,2.02,1.12,1.12,1.12,1.12
Amon-Ra St. Brown,DET,WR,25.0,7871,8508,2.03,2.01,1.13,1.13,1.13
Puka Nacua,LAR,WR,23.0,7765,8382,2.04,2.02,1.14,1.14,1.14
Brian Thomas Jr.,JAC,WR,22.0,7329,7867,2.05,2.03,1.15,1.15,1.15
Patrick Mahomes,KCC,QB,29.0,7258,5648,2.06,2.04,1.16,1.16,1.16
Justin Herbert,LAC,QB,26.0,7166,5259,2.07,2.05,2.01,1.17,1.17
Nico Collins,HOU,WR,25.0,7066,7729,2.08,2.06,2.02,1.18,1.18
Saquon Barkley,PHI,RB,27.0,6974,7570,2.09,2.07,2.03,1.19,1.19
C.J. Stroud,HOU,QB,23.0,6865,5600,2.10,2.08,2.04,1.20,1.20
Jordan Love,GBP,QB,26.0,6843,5406,3.01,2.09,2.05,2.01,1.21
Drake Maye,NEP,QB,22.0,6679,4811,3.02,2.10,2.06,2.02,1.22
Jaxon Smith-Njigba,SEA,WR,22.0,6582,7251,3.03,2.11,2.07,2.03,1.23
Marvin Harrison Jr.,ARI,WR,22.0,6543,7252,3.04,2.12,2.08,2.04,1.24
Trey McBride,ARI,TE,25.0,6524,7114,3.05,3.01,2.09,2.05,1.25
De'Von Achane,MIA,RB,23.0,6514,7337,3.06,3.02,2.10,2.06,1.26
Caleb Williams,CHI,QB,23.0,6428,5116,3.07,3.03,2.11,2.07,1.27
A.J. Brown,PHI,WR,27.0,6423,7148,3.08,3.04,2.12,2.08,1.28
Bo Nix,DEN,QB,24.0,6376,4865,3.09,3.05,2.13,2.09,1.29
Drake London,ATL,WR,23.0,6374,7107,3.10,3.06,2.14,2.10,1.30
2025 Early 1st,FA,PICK,,6372,7173,4.01,3.07,2.15,2.11,1.31
Garrett Wilson,NYJ,WR,24.0,6335,7001,4.02,3.08,2.16,2.12,1.32
Ladd McConkey,LAC,WR,23.0,6156,6847,4.03,3.09,3.01,2.13,2.01
Breece Hall,NYJ,RB,23.0,6136,6988,4.04,3.10,3.02,2.14,2.02
Kyler Murray,ARI,QB,27.0,5973,4955,4.05,3.11,3.03,2.15,2.03
2026 Early 1st,FA,PICK,,5700,6285,4.06,3.12,3.04,2.16,2.04
Kyren Williams,LAR,RB,24.0,5660,6632,4.07,4.01,3.05,2.17,2.05
Tee Higgins,CIN,WR,26.0,5602,6386,4.08,4.02,3.06,2.18,2.06
Rashee Rice,KCC,WR,24.0,5573,6407,4.09,4.03,3.07,2.19,2.07
Brock Purdy,SFO,QB,25.0,5474,4360,4.10,4.04,3.08,2.20,2.08
Bucky Irving,TBB,RB,22.0,5454,6368,5.01,4.05,3.09,3.01,2.09
Baker Mayfield,TBB,QB,29.0,5403,4175,5.02,4.06,3.10,3.02,2.10
Jonathan Taylor,IND,RB,26.0,5367,6397,5.03,4.07,3.11,3.03,2.11
2025 Mid 1st,FA,PICK,,5194,6088,5.04,4.08,3.12,3.04,2.12
George Pickens,PIT,WR,23.0,5190,6035,5.05,4.09,3.13,3.05,2.13
James Cook,BUF,RB,25.0,5179,6137,5.06,4.10,3.14,3.06,2.14
Jared Goff,DET,QB,30.0,5163,3776,5.07,4.11,3.15,3.07,2.15
Jordan Addison,MIN,WR,22.0,5156,6056,5.08,4.12,3.16,3.08,2.16
Josh Jacobs,GBP,RB,26.0,5140,6079,5.09,5.01,4.01,3.09,2.17
DeVonta Smith,PHI,WR,26.0,5135,6061,5.10,5.02,4.02,3.10,2.18
Rome Odunze,CHI,WR,22.0,5118,6026,6.01,5.03,4.03,3.11,2.19
2027 Early 1st,FA,PICK,,5117,5894,6.02,5.04,4.04,3.12,2.20
